topic,question_name,link,difficulty
Binary Trees,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,Hard
Binary Trees,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Medium
Binary Trees,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Hard
Binary Search Trees,Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree,Easy
Binary Search Trees,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,Medium
Binary Search Trees,Lowest Common Ancestor of a BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Medium
Binary Search Trees,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Medium
Binary Search Trees,Construct BST from Preorder Traversal,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,Medium
Binary Search Trees,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst,Medium
Binary Search Trees,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree,Medium
Greedy,N Meetings in One Room,https://www.geeksforgeeks.org/activity-selection-problem-greedy-algo-1,Easy
Greedy,Jump Game,https://leetcode.com/problems/jump-game,Medium
Greedy,Gas Station,https://leetcode.com/problems/gas-station,Medium
Greedy,Candy Distribution,https://leetcode.com/problems/candy,Hard
Greedy,Fractional Knapsack,https://www.geeksforgeeks.org/fractional-knapsack-problem,Medium
Greedy,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,Medium
Backtracking,N-Queens Problem,https://leetcode.com/problems/n-queens,Hard
Backtracking,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,Hard
Backtracking,Permutations,https://leetcode.com/problems/permutations,Medium
Backtracking,Subsets,https://leetcode.com/problems/subsets,Medium
Backtracking,Word Search,https://leetcode.com/problems/word-search,Medium
Backtracking,Rat in a Maze,https://www.geeksforgeeks.org/rat-in-a-maze,Medium
Backtracking,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,Medium
Stacks & Queues,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks,Easy
Stacks & Queues,Min Stack,https://leetcode.com/problems/min-stack,Medium
Stacks & Queues,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,Easy
Stacks & Queues,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii,Medium
Stacks & Queues,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,Hard
Stacks & Queues,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,Hard
Stacks & Queues,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,Medium
Heap,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,Medium
Heap,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,Hard
Heap,Merge K Sorted Arrays,https://www.geeksforgeeks.org/merge-k-sorted-arrays,Medium
Heap,Task Scheduler,https://leetcode.com/problems/task-scheduler,Medium
Graph,Breadth First Search (BFS),https://www.geeksforgeeks.org/breadth-first-search-or-bfs-for-a-graph,Easy
Graph,Depth First Search (DFS),https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph,Easy
Graph,Number of Islands,https://leetcode.com/problems/number-of-islands,Medium
Graph,Course Schedule (Cycle Detection in Directed Graph),https://leetcode.com/problems/course-schedule,Medium
Graph,Rotting Oranges,https://leetcode.com/problems/rotting-oranges,Medium
Graph,Dijkstra's Shortest Path Algorithm,https://www.geeksforgeeks.org/dijkstras-shortest-path-algorithm,Hard
Graph,Network Delay Time,https://leetcode.com/problems/network-delay-time,Medium
Graph,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,Medium
Graph,Word Ladder,https://leetcode.com/problems/word-ladder,Hard
Graph,Alien Dictionary,https://www.geeksforgeeks.org/given-a-sorted-dictionary-of-an-alien-language-find-order-of-characters,Hard
Trie,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,Medium
Trie,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,Medium
Trie,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,Medium
Trie,Word Search II,https://leetcode.com/problems/word-search-ii,Hard
Dynamic Programming,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,Easy
Dynamic Programming,House Robber,https://leetcode.com/problems/house-robber,Medium
Dynamic Programming,House Robber II,https://leetcode.com/problems/house-robber-ii,Medium
Dynamic Programming,Coin Change,https://leetcode.com/problems/coin-change,Medium
Dynamic Programming,Longest Increasing Subsequence (LIS),https://leetcode.com/problems/longest-increasing-subsequence,Medium
Dynamic Programming,Longest Common Subsequence (LCS),https://leetcode.com/problems/longest-common-subsequence,Medium
Dynamic Programming,0/1 Knapsack Problem,https://www.geeksforgeeks.org/0-1-knapsack-problem-dp-10,Medium
Dynamic Programming,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,Medium
Dynamic Programming,Edit Distance,https://leetcode.com/problems/edit-distance,Medium
Dynamic Programming,Word Break,https://leetcode.com/problems/word-break,Medium
Dynamic Programming,Matrix Chain Multiplication,https://www.geeksforgeeks.org/matrix-chain-multiplication-dp-8,Hard
Dynamic Programming,Burst Balloons,https://leetcode.com/problems/burst-balloons,Hard
Bit Manipulation,Number of 1 Bits (Hamming Weight),https://leetcode.com/problems/number-of-1-bits,Easy
Bit Manipulation,Counting Bits,https://leetcode.com/problems/counting-bits,Easy
Bit Manipulation,Single Number,https://leetcode.com/problems/single-number,Easy
Bit Manipulation,Single Number III (Two Odd Occurring Numbers),https://leetcode.com/problems/single-number-iii,Medium
Bit Manipulation,Reverse Bits,https://leetcode.com/problems/reverse-bits,Easy
